country,year,cement_co2,coal_co2,flaring_co2,gas_co2,oil_co2,other_industry_co2,longitude,latitude
Bosnia and Herzegovina,1902,0.307,0.123,0.077,1.902,0.292,1.633,18.294,44.409
Brazil,1902,0.009,2.506,0.013,0.004,2.7,1.473,-46.625,-23.534
Bulgaria,1902,2.983,0.238,0.78,5.869,2.05,1.219,25.486,42.734
Canada,1902,0.995,25.424,1.182,0.902,0.224,2.641,-123.116,49.246
Chile,1902,0.075,1.96,3.287,45.491,0.897,1.695,-70.674,-33.447
China,1902,0.851,0.095,0.04,11.245,45.534,1.444,104.195,35.862
Croatia,1902,0.496,0.134,0.064,0.162,3.355,0.401,15.967,45.815
Czechia,1902,0.799,35.768,0.388,0,5.11,0.111,14.419,50.074
Denmark,1902,0.112,5.503,0.068,0.006,2.365,1.075,12.568,55.676
Estonia,1902,0.074,0.548,1.03,0.942,0.13,0.176,24.754,59.437
Finland,1902,0.09,0.333,0.085,0.127,0.066,0.885,24.946,60.192
France,1902,0.757,117.017,0.309,4.075,0.645,0.81,2.349,48.865
Georgia,1902,0.028,0.14,0.775,0.003,0.433,7.372,44.783,41.717
Germany,1902,1.013,316.156,0.205,4.183,3.034,9.424,13.405,52.52
Greece,1902,1.392,0.333,1.082,2.476,9.573,5.181,21.824,39.074
Hungary,1902,0.671,8.838,0.293,5.653,0.011,1.261,19.04,47.498
Indonesia,1902,129.305,0.509,1.66,111.152,1.03,0.143,106.774,-6.121
Italy,1902,2.187,14.792,2.08,0.004,0.22,2.815,12.496,41.903
Japan,1902,0.496,23.765,1.128,0.236,1.18,7.069,138.253,36.205
Kazakhstan,1902,1.507,3.77,0.739,7.319,0.964,5.939,66.924,48.02
Kyrgyzstan,1902,1.253,0.276,1.483,40.86,0.16,1.95,74.766,41.204
Latvia,1902,0.686,0.103,0.149,0.138,0.245,1.001,25,57
Lithuania,1902,0.746,0.125,5.163,0.043,0.522,0.381,23.904,54.899
Malaysia,1902,0.114,0.051,0.161,0.158,0.876,0.041,112.5,2.5
Mexico,1902,0.119,1.411,3.447,0.326,0.015,0.161,-102,23
Moldova,1902,8.531,0.258,2.933,55.161,0.306,0.307,28.37,47.412
Montenegro,1902,0.186,0.012,0.067,1.383,3.765,0.494,19.3,42.5
Netherlands,1902,0.766,13.718,0.111,1.718,0.583,1.092,5.55,52.317
New Zealand,1902,0.046,3.041,0.542,35.898,2.587,0.931,173,-42
North Macedonia,1902,2.33,0.09,4.975,12.822,2.839,0.448,21.7,41.6
Norway,1902,0.329,4.104,0.073,0.528,0.139,0.377,8,61
Oceania,1902,0.704,14.326,2.097,12.812,0.11,0.446,133.775,-25.274
Peru,1902,0.316,0.109,1.634,0.789,0.099,5.1,-76,-10
Poland,1902,8.635,63.893,2.454,7.057,1.598,5.39,20,52
Portugal,1902,6.867,2.565,4.691,33.932,0.055,4.391,-9.183,38.7
Romania,1902,2.052,0.597,1.374,81.465,0.993,1.286,25,46
Russia,1902,3.203,27.105,1.092,18.343,18.575,2.516,90,60
Serbia,1902,1.613,0.357,0.09,0.036,5.817,8.398,21,44
Slovakia,1902,0.189,11.421,0.032,4.552,0.603,2.553,19.5,48.667
Slovenia,1902,1.215,0.102,0.02,8.618,8.481,0.924,14.817,46.117
South Africa,1902,0.094,5.826,0.103,2.775,0.929,0.848,25,-30
Spain,1902,6.49,12.23,0.089,14.605,0.106,2.458,-4,40
Sweden,1902,0.076,8.669,0.015,0.013,0.256,1.288,16,63
Switzerland,1902,1.473,5.009,0.799,1.837,0.227,0.541,8.333,46.833
Taiwan,1902,0.656,0.256,1.83,6.41,15.806,0.448,121,24
Tajikistan,1902,4.149,0.087,0.72,35.384,0.122,0.806,71,39
Turkey,1902,3.226,1.048,0.287,12,13.74,2.717,35,39
Turkmenistan,1902,27.279,0.086,0.18,75.748,0.767,6.806,60,40
Ukraine,1902,0.349,10.206,2.689,7.784,3.567,7.91,32,49
United Kingdom,1902,6.487,423.225,1.353,128.879,3.415,3.09,-3,55
United States,1902,2.145,715.931,6.853,13.692,34.87,3.549,-100,40
Uzbekistan,1902,0.275,0.924,31.869,0.11,1.369,27.588,63,42
Vietnam,1902,2.836,0.399,32.159,31.577,44.446,27.588,108,16
Argentina,1903,0.489,2.862,6.869,0.145,0.276,1.379,-58.382,-34.604
Armenia,1903,3.474,0.049,1.711,77.587,0.319,1.379,45.038,40.069
Australia,1903,0.332,11.051,0.303,1.831,0.169,1.379,151.21,-33.865
Austria,1903,2.572,25.699,16.512,71.375,115.051,3.776,14.55,47.516
Azerbaijan,1903,1.578,0.026,0.132,14.323,1.027,1.196,48.5,41.4
Belarus,1903,0.066,0.358,0.064,0.038,1.944,3.226,27.953,53.71
Belgium,1903,2.069,52.63,0.006,34.531,13.374,1.09,4.47,50.504
Bosnia and Herzegovina,1903,0.296,0.133,0.076,1.832,0.278,1.632,18.294,44.409
Brazil,1903,0.01,2.44,0.013,0.004,2.618,1.472,-46.625,-23.534
Bulgaria,1903,2.87,0.234,0.772,5.777,2.018,1.218,25.486,42.734
Canada,1903,0.99,27.736,1.184,0.87,0.224,2.646,-123.116,49.246
Chile,1903,0.074,2.162,3.224,44.523,0.879,1.693,-70.674,-33.447
China,1903,0.82,1.964,0.051,11.011,43.637,1.441,104.195,35.862
Croatia,1903,0.491,0.145,0.064,0.156,3.205,0.399,15.967,45.815
Czechia,1903,0.785,36.44,0.389,0,4.684,0.141,14.419,50.074
Denmark,1903,0.122,5.727,0.068,0.006,2.419,1.073,12.568,55.676
Estonia,1903,0.073,0.548,1.017,0.892,0.114,0.175,24.754,59.437
Finland,1903,0.091,0.443,0.085,0.138,0.07,0.888,24.946,60.192
France,1903,0.808,128.79,0.382,3.973,0.553,0.857,2.349,48.865
Georgia,1903,0.027,0.15,0.766,0.003,0.41,7.389,44.783,41.717
Germany,1903,1.121,340.4,0.218,4.053,3.199,9.441,13.405,52.52
Greece,1903,1.339,0.399,1.069,2.448,9.149,5.133,21.824,39.074
Hungary,1903,0.653,9.164,0.293,5.465,0.011,1.262,19.04,47.498
Indonesia,1903,124.519,0.561,1.688,105.31,2.44,0.144,106.774,-6.121
Italy,1903,2.161,15.096,2.102,0.004,0.216,2.838,12.496,41.903
Japan,1903,0.55,24.842,1.112,0.221,0.945,7.122,138.253,36.205
Kazakhstan,1903,1.451,3.78,0.744,6.933,0.85,5.904,66.924,48.02
Kyrgyzstan,1903,1.205,0.283,1.464,38.709,0.144,1.945,74.766,41.204
Latvia,1903,0.66,0.11,0.148,0.131,0.23,0.996,25,57
Lithuania,1903,0.718,0.135,5.093,0.041,0.498,0.382,23.904,54.899
Malaysia,1903,0.112,0.051,0.162,0.157,0.79,0.041,112.5,2.5
Mexico,1903,0.118,1.528,3.431,0.324,0.029,0.162,-102,23
Moldova,1903,8.203,0.27,2.892,52.258,0.282,0.308,28.37,47.412
Montenegro,1903,0.185,0.013,0.067,1.376,3.577,0.495,19.3,42.5
Netherlands,1903,0.741,14.704,0.11,1.681,0.594,1.093,5.55,52.317
New Zealand,1903,0.048,3.169,0.534,35.373,2.498,0.926,173,-42
North Macedonia,1903,2.242,0.097,4.911,12.689,2.699,0.448,21.7,41.6
Norway,1903,0.321,4.06,0.074,0.537,0.18,0.376,8,61
Oceania,1903,0.696,14.22,2.067,12.598,0.169,0.472,133.775,-25.274
Peru,1903,0.305,0.099,1.633,0.789,0.114,5.101,-76,-10
Poland,1903,8.324,66.425,2.475,6.696,2.063,5.391,20,52
Portugal,1903,6.604,2.455,4.639,33.555,0.066,4.348,-9.183,38.7
Romania,1903,1.98,0.583,1.372,76.688,1.264,1.29,25,46
Russia,1903,3.102,27.883,1.272,17.379,16.8,2.917,90,60
Serbia,1903,1.556,0.387,0.089,0.035,5.528,8.384,21,44
Slovakia,1903,0.19,11.635,0.032,4.384,0.553,2.538,19.5,48.667
Slovenia,1903,1.171,0.11,0.02,8.298,8.06,0.916,14.817,46.117
South Africa,1903,0.097,7.782,0.103,2.782,1.013,0.853,25,-30
Spain,1903,6.27,12.077,0.09,13.281,0.099,2.464,-4,40
Sweden,1903,0.082,9.512,0.019,0.015,0.293,1.28,16,63
Switzerland,1903,1.429,5.445,0.79,1.803,0.227,0.537,8.333,46.833
Taiwan,1903,0.642,0.216,1.821,6.133,15.355,0.451,121,24
Tajikistan,1903,3.989,0.092,0.711,33.522,0.113,0.809,71,39
Turkey,1903,3.103,1.205,0.286,11.843,13.435,2.72,35,39
Turkmenistan,1903,26.231,0.094,0.182,71.761,0.74,6.811,60,40
Ukraine,1903,0.342,10.305,2.704,7.374,3.167,7.914,32,49
United Kingdom,1903,6.321,426.559,1.336,125.657,3.426,3.094,-3,55
United States,1903,2.533,840.042,7.608,14.524,39.839,3.784,-100,40
Uzbekistan,1903,0.269,0.974,31.43,0.104,1.269,27.588,63,42
Vietnam,1903,2.73,0.557,31.788,31.177,43.528,27.588,108,16
Zimbabwe,1903,1.022,0.114,0.572,1.249,3.724,27.588,30,-20
Argentina,1904,0.474,3.796,6.797,0.132,0.223,1.379,-58.382,-34.604
Armenia,1904,3.336,0.06,1.687,73.276,0.349,1.379,45.038,40.069
Australia,1904,0.334,11.377,0.305,1.8,0.168,1.379,151.21,-33.865
Austria,1904,2.479,27.209,16.324,68.914,108.298,3.745,14.55,47.516
Azerbaijan,1904,1.516,0.032,0.133,13.528,1.14,1.201,48.5,41.4
Belarus,1904,0.065,0.434,0.07,0.036,2.128,3.231,27.953,53.71
Belgium,1904,2.046,50.351,0.007,33.796,12.156,1.108,4.47,50.504
Bosnia and Herzegovina,1904,0.285,0.142,0.075,1.761,0.264,1.631,18.294,44.409
Brazil,1904,0.011,2.62,0.012,0.004,2.537,1.471,-46.625,-23.534
Bulgaria,1904,2.757,0.3,0.765,5.686,1.987,1.217,25.486,42.734
Canada,1904,0.985,32.818,1.186,0.838,0.278,2.651,-123.116,49.246
Chile,1904,0.073,1.968,3.16,43.555,0.86,1.691,-70.674,-33.447
China,1904,0.788,2.088,0.062,10.777,41.74,1.439,104.195,35.862
Croatia,1904,0.487,0.155,0.063,0.151,3.055,0.396,15.967,45.815
Czechia,1904,0.77,36.796,0.39,0,4.259,0.172,14.419,50.074
Denmark,1904,0.133,6.178,0.068,0.007,2.473,1.07,12.568,55.676
Estonia,1904,0.072,0.62,1.004,0.843,0.117,0.175,24.754,59.437
Finland,1904,0.093,0.454,0.085,0.148,0.073,0.89,24.946,60.192
France,1904,0.86,125.554,0.454,3.871,0.443,0.904,2.349,48.865
Georgia,1904,0.026,0.18,0.756,0.003,0.444,7.406,44.783,41.717
Germany,1904,1.228,352.84,0.231,3.923,3.283,9.458,13.405,52.52
Greece,1904,1.286,0.355,1.056,2.419,8.724,5.086,21.824,39.074
Hungary,1904,0.636,9.27,0.293,5.276,0.007,1.263,19.04,47.498
Indonesia,1904,119.732,0.612,1.717,99.467,2.755,0.145,106.774,-6.121
Italy,1904,2.136,15.96,2.125,0.004,0.224,2.861,12.496,41.903
Japan,1904,0.603,27.722,1.096,0.206,1.33,7.176,138.253,36.205
Kazakhstan,1904,1.394,4.281,0.748,6.548,0.871,5.869,66.924,48.02
Kyrgyzstan,1904,1.158,0.325,1.446,36.559,0.15,1.94,74.766,41.204
Latvia,1904,0.635,0.13,0.147,0.123,0.247,0.99,25,57
Lithuania,1904,0.691,0.163,5.023,0.039,0.541,0.383,23.904,54.899
Malaysia,1904,0.11,0.033,0.163,0.156,0.704,0.041,112.5,2.5
Mexico,1904,0.118,1.66,3.415,0.322,0.059,0.163,-102,23
Moldova,1904,7.875,0.315,2.852,49.355,0.298,0.309,28.37,47.412
Montenegro,1904,0.185,0.014,0.066,1.369,3.389,0.495,19.3,42.5
Netherlands,1904,0.717,15.609,0.11,1.644,0.557,1.094,5.55,52.317
New Zealand,1904,0.05,3.433,0.526,34.848,2.409,0.921,173,-42
North Macedonia,1904,2.153,0.104,4.848,12.556,2.558,0.447,21.7,41.6
Norway,1904,0.313,4.001,0.076,0.547,0.158,0.375,8,61
Oceania,1904,0.687,14.81,2.036,12.385,0.168,0.498,133.775,-25.274
Peru,1904,0.294,0.158,1.633,0.788,0.121,5.102,-76,-10
Poland,1904,8.013,66.853,2.495,6.335,2.528,5.393,20,52
Portugal,1904,6.341,2.524,4.587,33.179,0.055,4.304,-9.183,38.7
Romania,1904,1.907,0.56,1.37,71.911,1.628,1.295,25,46
Russia,1904,3.001,32.175,1.452,16.415,17.539,3.317,90,60
Serbia,1904,1.499,0.413,0.089,0.034,5.239,8.37,21,44
Slovakia,1904,0.191,11.749,0.032,4.215,0.503,2.524,19.5,48.667
Slovenia,1904,1.127,0.118,0.02,7.979,7.639,0.909,14.817,46.117
South Africa,1904,0.1,8.768,0.103,2.79,1.097,0.858,25,-30
Spain,1904,6.05,12.905,0.091,11.957,0.088,2.469,-4,40
Sweden,1904,0.087,10.028,0.022,0.017,0.297,1.271,16,63
Switzerland,1904,1.384,5.73,0.781,1.769,0.231,0.534,8.333,46.833
Taiwan,1904,0.627,0.22,1.812,5.856,14.904,0.454,121,24
Tajikistan,1904,3.83,0.108,0.702,31.659,0.12,0.812,71,39
Turkey,1904,2.98,1.367,0.285,11.685,13.13,2.723,35,39
Turkmenistan,1904,25.183,0.115,0.184,67.775,0.814,6.815,60,40
Ukraine,1904,0.334,11.729,2.719,6.965,3.261,7.918,32,49
United Kingdom,1904,6.155,428.373,1.319,122.436,3.62,3.099,-3,55
United States,1904,2.732,818.27,8.364,15.162,46.789,4.018,-100,40
Uzbekistan,1904,0.263,1.145,30.992,0.099,1.35,27.588,63,42
Venezuela,1904,0.993,0.004,19.6,24.338,0.118,27.588,-65,7
Vietnam,1904,2.624,0.802,31.416,30.778,42.609,27.588,108,16
Zimbabwe,1904,0.999,0.143,0.572,1.249,3.65,27.588,30,-20
Argentina,1905,0.459,3.983,6.726,0.119,0.169,1.379,-58.382,-34.604
Armenia,1905,3.197,0.067,1.663,68.966,0.298,1.379,45.038,40.069
Australia,1905,0.336,11.868,0.306,1.769,0.179,1.379,151.21,-33.865
Austria,1905,2.387,28.609,16.135,66.454,101.544,3.715,14.55,47.516
Azerbaijan,1905,1.454,0.037,0.135,12.732,1.008,1.205,48.5,41.4
Belarus,1905,0.063,0.487,0.076,0.034,1.799,3.235,27.953,53.71
Belgium,1905,2.024,50.266,0.007,33.062,10.938,1.126,4.47,50.504
Bosnia and Herzegovina,1905,0.273,0.154,0.075,1.691,0.25,1.63,18.294,44.409
Brazil,1905,0.013,2.799,0.012,0.004,2.455,1.47,-46.625,-23.534
Bulgaria,1905,2.645,0.359,0.757,5.595,1.956,1.216,25.486,42.734
Canada,1905,0.98,34.859,1.187,0.807,0.528,2.657,-123.116,49.246
Chile,1905,0.072,2.077,3.097,42.588,0.841,1.689,-70.674,-33.447
China,1905,0.757,2.297,0.073,10.543,39.843,1.437,104.195,35.862
Croatia,1905,0.483,0.168,0.062,0.145,2.905,0.394,15.967,45.815
Czechia,1905,0.756,37.879,0.39,0,3.834,0.202,14.419,50.074
Denmark,1905,0.143,6.009,0.067,0.007,2.527,1.067,12.568,55.676
Estonia,1905,0.071,0.576,0.992,0.793,0.082,0.174,24.754,59.437
Finland,1905,0.095,0.502,0.086,0.158,0.084,0.893,24.946,60.192
France,1905,0.911,126.983,0.527,3.769,0.443,0.951,2.349,48.865
Georgia,1905,0.026,0.195,0.746,0.003,0.362,7.423,44.783,41.717
Germany,1905,1.336,379.14,0.245,3.793,3.184,9.475,13.405,52.52
Greece,1905,1.234,0.278,1.044,2.39,8.299,5.038,21.824,39.074
Hungary,1905,0.618,9.416,0.294,5.088,0.015,1.264,19.04,47.498
Indonesia,1905,114.946,0.81,1.745,93.624,3.323,0.146,106.774,-6.121
Italy,1905,2.11,17.617,2.147,0.004,0.224,2.885,12.496,41.903
Japan,1905,0.657,28.843,1.08,0.191,1.088,7.229,138.253,36.205
Kazakhstan,1905,1.337,3.988,0.753,6.163,0.611,5.834,66.924,48.02
Kyrgyzstan,1905,1.11,0.314,1.427,34.408,0.109,1.935,74.766,41.204
Latvia,1905,0.609,0.139,0.146,0.116,0.198,0.985,25,57
Lithuania,1905,0.663,0.18,4.952,0.036,0.449,0.384,23.904,54.899
Malaysia,1905,0.108,0.04,0.163,0.155,0.618,0.041,112.5,2.5
Mexico,1905,0.117,1.598,3.399,0.319,0.11,0.164,-102,23
Moldova,1905,7.547,0.32,2.811,46.451,0.228,0.31,28.37,47.412
Montenegro,1905,0.184,0.015,0.065,1.363,3.201,0.496,19.3,42.5
Netherlands,1905,0.692,16.015,0.11,1.607,0.579,1.095,5.55,52.317
New Zealand,1905,0.052,3.539,0.519,34.324,2.32,0.915,173,-42
North Korea,1905,3.156,0.014,12.414,28.4,0.017,0.518,127,40
North Macedonia,1905,2.065,0.113,4.784,12.423,2.417,0.446,21.7,41.6
Norway,1905,0.305,4.012,0.078,0.556,0.135,0.375,8,61
Oceania,1905,0.678,15.407,2.006,12.171,0.179,0.524,133.775,-25.274
Peru,1905,0.283,0.198,1.633,0.787,0.154,5.104,-76,-10
Poland,1905,7.701,72.448,2.515,5.975,2.437,5.394,20,52
Portugal,1905,6.079,2.462,4.535,32.802,0.059,4.26,-9.183,38.7
Romania,1905,1.834,0.568,1.368,67.134,2.092,1.3,25,46
Russia,1905,2.9,31.464,1.631,15.451,12.912,3.718,90,60
Serbia,1905,1.442,0.448,0.089,0.032,4.951,8.356,21,44
Slovakia,1905,0.192,12.095,0.032,4.047,0.453,2.51,19.5,48.667
Slovenia,1905,1.083,0.128,0.02,7.66,7.218,0.901,14.817,46.117
South Africa,1905,0.103,10.028,0.103,2.797,1.18,0.863,25,-30
South Korea,1905,5.032,0.001,0.08,9.308,52.379,1.471,128,36
Spain,1905,5.829,13.484,0.092,10.634,0.088,2.474,-4,40
Sweden,1905,0.093,9.842,0.026,0.018,0.322,1.263,16,63
Switzerland,1905,1.339,6.016,0.772,1.734,0.224,0.531,8.333,46.833
Taiwan,1905,0.613,0.253,1.803,5.579,14.452,0.457,121,24
